web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller,category,brand,condition,sold_text,sold_num
1775099977-157,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/kios-bu-rt/huawei-p20pro-6-128-dual-sim-sinyal-aman-1734433749257127712?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei P20pro 6/128 dual sim sinyal aman,6000000,0,0 rating • 0 ulasan,Terjual 0,Kios bu RW,Hp,Huwawei,Bekas,Terjual 0,0
1775099982-158,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/anikolshop354/huawei-p40-pro-5g-8-512gb-1732674163485606962?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,huawei p40 pro+ 5g 8/512gb - unit saja,102000000,5.0,45 rating • 3 ulasan,Terjual 100+,royyan354,Hp,Huwawei,Bekas,Terjual 100+,100
1775099987-159,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/jrstorejhon/huawei-nova-5t-ram-8-128gb-resmi-indonesia-1734361811915277401?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Nova 5T Ram 8/128gb Resmi Indonesia - varian 1,12500000,5.0,2 rating • 1 ulasan,Terjual 4,Jhon By JR,Hp,Huwawei,Bekas,Terjual 4,4
1775099992-160,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/indramjazz/huawei-p30-128gb-rom-8gb-ram-original-unit-only-batangan?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei p30 128gb Rom 8gb ram original - unit only - batangan,23000000,4.7,26 rating • 15 ulasan,Terjual 30+,jazz gadget store,Hp,Huwawei,Bekas,Terjual 30+,30
1775099997-161,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/shopkinku/huawei-mate-30-pro-256gb-garansi-resmi-indonesia?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Mate 30 Pro 256gb Garansi Resmi Indonesia,40000000,0,0 rating • 0 ulasan,Terjual 0,shopkinku,Hp,Huwawei,Bekas,Terjual 0,0
1775100003-162,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/vstoreindo/huawei-nova-9-8-256-gb-garansi-resmi-indonesia-second-bekas-original-unit-only-38028?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Nova 9 8/256 GB Garansi Resmi Indonesia Second Bekas Original - Unit Only,33900000,5.0,6 rating • 0 ulasan,Terjual 7,Vstoreindo,Hp,Huwawei,Bekas,Terjual 7,7
1775100008-163,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/mcjkt/honor-x9c-5g-12gb-256gb-second-original-100-garansi-resmi-1729813893206279417?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,HONOR X9c 5G | 12GB | 256GB | Second Original 100% Garansi Resmi,27500000,5.0,3 rating • 0 ulasan,Terjual 10,Mc Jkt,Hp,Huwawei,Bekas,Terjual 10,10
1775100013-164,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/sh-phone/huawei-nova-9-ram-8-256-second-original?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,huawei nova 9 ram 8/256 second original,35990000,5.0,1 rating • 1 ulasan,Terjual 1,SH-Phone,Hp,Huwawei,Bekas,Terjual 1,1
1775100018-165,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/afracall/huawei-p50-pro-8-256-gb-resmi-indonesia-gold-eb512?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,HUAWEI P50 PRO 8/256 GB RESMI INDONESIA - GOLD,67500000,4.9,33 rating • 24 ulasan,Terjual 50+,afra call,Hp,Huwawei,Bekas,Terjual 50+,50
1775100023-166,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/indramjazz/huawei-nova-9-256gb-rom-8gb-ram-original-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Nova 9 256gb Rom 8gb ram original - fullset,30500000,4.7,10 rating • 6 ulasan,Terjual 16,jazz gadget store,Hp,Huwawei,Bekas,Terjual 16,16
1775100028-167,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/ambili/honor-400-lite-5g-8-256-honor-400lite-5g-8-256-second-bekas-garansi-panjang-1732273034255107279?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,HONOR 400 LITE 5G 8/256 HONOR 400LITE 5G 8/256 SECOND BEKAS GARANSI PANJANG - green,31000000,4.9,9 rating • 4 ulasan,Terjual 15,AMBILI,Hp,Huwawei,Bekas,Terjual 15,15
1775100033-168,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/vstoreindo/huawei-nova-7-8-256-gb-ex-huawei-resmi-indonesia-second-bekas-original-1731647125307950345?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei Nova 7 8/256 GB Ex Huawei Resmi Indonesia Second Bekas Original - Fullset,26900000,5.0,2 rating • 2 ulasan,Terjual 6,Vstoreindo,Hp,Huwawei,Bekas,Terjual 6,6
1775100038-169,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei,https://www.tokopedia.com/briantogadget/huawei-p50-pro?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch,Huawei P50 pro,67000000,5.0,2 rating • 1 ulasan,Terjual 2,Briantogadget,Hp,Huwawei,Bekas,Terjual 2,2
