web_scraper_order,web_scraper_start_url,detail produk,detail produk-href,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
1777985144-730,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,24%MSI CYBORG 15 RTX5060 CORE I7 240H 16GB 512GB W11+OHS 15.6FHD 144HZ 4ZRGBRp19.899.000Rp26.199.000Hemat s.d  1% Pakai Bonus5.0100+ terjualAGRES IDJakarta Utara,https://www.tokopedia.com/agresid/msi-cyborg-15-rtx5060-core-i7-240h-16gb-512gb-w11-ohs-15-6fhd-144hz-4zrgb-1732071492608033859?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch%26whid%3D1635963,"MSI CYBORG 15 RTX5060 CORE I7 240H 16GB 512GB W11+OHS 15.6FHD 144HZ 4ZRGB - Non Bundle, WINDOWS 11 HOME",Rp19.899.000,5.0,Terjual 100+,Kota Administrasi Jakarta Utara,AGRES ID
1777985149-731,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,"MSI MODERN 15H CORE 9 270H 16GB 1TB W11 OHS 15.6"" FHD IPSRp15.174.000Rp16.899.000Hemat s.d  1% Pakai Bonus5.06 terjualProStoreComputerJakarta Utara",https://www.tokopedia.com/prostorecomputer/msi-modern-15h-core-9-270h-16gb-1tb-w11-ohs-15-6-fhd-ips-1730866622108567451?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch%26whid%3D1366602,"MSI MODERN 15H CORE 9 270H 16GB 1TB W11 OHS 15.6"" FHD IPS - LAPTOP",Rp15.174.000,5.0,Terjual 6,Kota Administrasi Jakarta Utara,ProStoreComputer
1777985154-732,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,27%MSI MODERN 14 I3 1315U 8GB 512GB 14.0FHD W11Rp8.449.000Rp11.499.000Hemat s.d  1% Pakai Bonus5.015 terjualProTech ComJakarta Pusat,https://www.tokopedia.com/protechcom/msi-modern-14-i3-1315u-8gb-512gb-14-0fhd-w11-1732478871949576096-1735350642043094944?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,MSI MODERN 14 I3 1315U 8GB 512GB 14.0FHD W11 - FLASHSALE,Rp8.449.000,5.0,Terjual 15,Kota Administrasi Jakarta Pusat,ProTech Com
1777985159-733,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,23%MSI MODERN 14 INTEL CORE i3 1315U 8GB 512GB W11 14.0FHD BLIT IPSRp8.449.000Rp10.999.000Hemat s.d  1% Pakai Bonus5.08 terjualENVICSTOREJakarta Utara,https://www.tokopedia.com/envicstore/msi-modern-14-intel-core-i3-1315u-8gb-512gb-w11-14-0fhd-blit-ips-1733723476065027330?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,"MSI MODERN 14 INTEL CORE i3 1315U 8GB 512GB W11 14.0FHD BLIT IPS - NON BUNDLING, 8GB - 512GB GRAY",Rp8.449.000,5.0,Terjual 8,Kota Administrasi Jakarta Utara,ENVICSTORE
1777985165-734,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI THIN 15 I5 13420H RTX4050 6GB/ 16GB 512GB W11 15.6FHD 144HZ Backlit Laptop Intel Core i5-12450H NVIDIA GeForce RTX 4050 Garansi Resmi 2 TahunRp14.789.000Rp14.799.000Hemat s.d  1% Pakai Bonus5.03 terjualTen ComJakarta Selatan,https://www.tokopedia.com/ten-com/msi-thin-15-i5-13420h-rtx4050-6gb-16gb-512gb-w11-15-6fhd-144hz-backlit-laptop-intel-core-i5-12450h-nvidia-geforce-rtx-4050-garansi-resmi-2-tahun-1730112706821719303-1734896993485554951?extParam=ivf%3Dtrue%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,"MSI THIN 15 I5 13420H RTX4050 6GB/ 16GB 512GB W11 15.6FHD 144HZ Backlit Laptop Intel Core i5-12450H NVIDIA GeForce RTX 4050 Garansi Resmi 2 Tahun - I5 13420H | RTX4050 | 16GB 512GB, Standard Pack",Rp14.789.000,5.0,Terjual 3,Kota Administrasi Jakarta Selatan,Ten Com
1777985170-735,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI PRESTIGE 16 AI+ ULTRA 7 355 32GB 1TB 16.0 2.8k OLED 120HZ W11 OHS M365BRp23.499.000Rp25.299.000Hemat s.d  1% Pakai Bonus5.07 terjualMSI Official StoreJakarta Pusat,https://www.tokopedia.com/msi-official-store/msi-prestige-16-ai-ultra-7-355-32gb-1tb-16-0-2-8k-oled-120hz-w11-ohs-m365b-1734477925674551085-1735346622949328685?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,MSI PRESTIGE 16 AI+ ULTRA 7 355 32GB 1TB 16.0 2.8k OLED 120HZ W11 OHS M365B - FLASHSALE,Rp23.499.000,5.0,Terjual 7,Kota Administrasi Jakarta Pusat,MSI Official Store
1777985175-736,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI PRESTIGE 13 AI+ UKIYOE EDITION ULTRA 9 288V 32GB 1TB 13.3 2.8K OLED W11 OHSRp30.999.000Hemat s.d  1% Pakai Bonus4.9250+ terjualMSI Official StoreJakarta Pusat,https://www.tokopedia.com/msi-official-store/msi-prestige-13-ai-ukiyoe-edition-ultra-9-288v-32gb-1tb-13-3-2-8k-oled-w11-ohs-1733093639116392237-1735346243255043885?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,MSI PRESTIGE 13 AI+ UKIYOE EDITION ULTRA 9 288V 32GB 1TB 13.3 2.8K OLED W11 OHS - FLASHSALE,Rp30.999.000,4.9,Terjual 250+,Kota Administrasi Jakarta Pusat,MSI Official Store
1777985180-737,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,"MSI Thin 15 B13UCX i7-13620H 16GB 512GB RTX2050 4GB 15.6"" FHD 144Hz IPS W11Rp11.899.000Hemat s.d  1% Pakai BonusMajuMComMedan",https://www.tokopedia.com/majumandiricom-1/msi-thin-15-b13ucx-i7-13620h-16gb-512gb-rtx2050-4gb-15-6-fhd-144hz-ips-w11-8-512gb-cfd9e?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,"MSI Thin 15 B13UCX i7-13620H 16GB 512GB RTX2050 4GB 15.6"" FHD 144Hz IPS W11 - 8/512GB",Rp11.899.000,,,Kota Medan,MajuMCom
1777985187-738,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,"20%LAPTOP MSI MODERN 15H INTEL CORE 9 270H 16GB 1TB SSD W11 OHS 15.6"" FHD IPSRp15.174.000Rp18.999.000Hemat s.d  1% Pakai Bonus5.016 terjualroyalltechJakarta Utara",https://www.tokopedia.com/royalltech/laptop-msi-modern-15h-intel-core-9-270h-16gb-1tb-ssd-w11-ohs-15-6-fhd-ips-1730866619222296055?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,"LAPTOP MSI MODERN 15H INTEL CORE 9 270H 16GB 1TB SSD W11 OHS 15.6"" FHD IPS - LAPTOP",Rp15.174.000,,,,
1777985193-739,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,"12%Laptop Gaming MSI Thin 15 B12VE i5-12450H RTX 4050 6GB 512GB 15.6"" FHD 144HzRp14.185.000Rp16.099.000Hemat s.d  1% Pakai Bonus4.930+ terjualTeknoTrend IDJakarta Pusat",https://www.tokopedia.com/teknotrend/laptop-gaming-msi-thin-15-b12ve-i5-12450h-rtx-4050-6gb-512gb-15-6-fhd-144hz-1731312128006064066?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,"Laptop Gaming MSI Thin 15 B12VE i5-12450H RTX 4050 6GB 512GB 15.6"" FHD 144Hz - 8GB",Rp14.185.000,4.9,Terjual 30+,Kota Administrasi Jakarta Pusat,TeknoTrend ID
1777985198-740,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI Thin 15 B13UC 2409ID Core i5 13420H 16GB 512GB 3050 W11 Cosmos GrayRp11.999.000Archie Tech Computer BaliDenpasar,https://www.tokopedia.com/archietech/msi-thin-15-b13uc-2409id-core-i5-13420h-8gb-512gb-3050-w11-cosmos-gray?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,MSI Thin 15 B13UC 2409ID Core i5 13420H 16GB 512GB 3050 W11 Cosmos Gray,Rp11.999.000,,,,
1777985204-741,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI Modern 14 Intel I3 Gen 13 8Gb 512Gb Win 11 Office 14 Inch Full HD BacklitRp8.449.000Hemat s.d  1% Pakai Bonus5.015 terjualAGRES ID Jakarta TimurJakarta Timur,https://www.tokopedia.com/agresidjaktim/msi-modern-14-intel-i3-gen-13-8gb-512gb-win-11-office-14-inch-full-hd-backlit-1731150432457492256?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,"MSI Modern 14 Intel I3 Gen 13 8Gb 512Gb Win 11 Office 14 Inch Full HD Backlit - RAM 8GB/512GB, Non-Antigores",Rp8.449.000,5.0,Terjual 15,Kota Administrasi Jakarta Timur,AGRES ID Jakarta Timur
1777985210-742,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI KATANA 15 I7 13620H RTX 4050 512GB 15.6” FHD IPS 144HZ W11 OHSRp22.999.000Hemat s.d  1% Pakai Bonus5.02 terjualCollins OfficialJakarta Pusat,https://www.tokopedia.com/collinsofficial/msi-katana-15-i7-13620h-rtx-4050-512gb-15-6-fhd-ips-144hz-w11-ohs-ram-16gb-05827?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch%26whid%3D6541860,MSI KATANA 15 I7 13620H RTX 4050 512GB 15.6” FHD IPS 144HZ W11 OHS - RAM 16GB,Rp22.999.000,5.0,Terjual 2,Kota Administrasi Jakarta Pusat,Collins Official
1777985216-743,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,"45%MSI Vector 17 HX AI RTX 5070TI Ultra 9 275HX 32GB 1TB SSD W 11 + OHS 17.0 QHD+ 240Hz Vector Gaming 17HX A2XWHG - NON PAKET, RAM 16GB 1TB SSDRp19.744.450Rp35.899.000Hemat s.d  1% Pakai BonusAndalanNusantaraSurakarta",https://www.tokopedia.com/andalannusantara-128/msi-vector-17-hx-ai-rtx-5070ti-ultra-9-275hx-32gb-1tb-ssd-w-11-ohs-17-0-qhd-240hz-vector-gaming-17hx-a2xwhg-non-paket-ram-16gb-1tb-ssd-1734154507870439187?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,"MSI Vector 17 HX AI RTX 5070TI Ultra 9 275HX 32GB 1TB SSD W 11 + OHS 17.0 QHD+ 240Hz Vector Gaming 17HX A2XWHG - NON PAKET, RAM 16GB 1TB SSD - NON PAKET, RAM 16GB 1TB SSD",Rp19.744.450,,,Kota Surakarta,AndalanNusantara
1777985221-744,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI MODERN 14 RYZEN 7 7730 16GB 512GB W11+OHS 14.0FHD IPS BLIT 2Y BLKRp9.950.000LAPTOP STORE SURABAYASurabaya,https://www.tokopedia.com/laptopstoresurabaya/msi-modern-14-ryzen-7-7730-16gb-512gb-w11-ohs-14-0fhd-ips-blit-2y-blk?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,MSI MODERN 14 RYZEN 7 7730 16GB 512GB W11+OHS 14.0FHD IPS BLIT 2Y BLK,Rp9.950.000,,,Kota Surabaya,LAPTOP STORE SURABAYA
1777985226-745,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,"MSI Thin 15 B12UC Intel Core i7-12650H 16GB SSD 512GB 15.6"" FHD W11Rp14.559.000Hemat s.d  1% Pakai Bonus5.02 terjualEls ComputerYogyakarta",https://www.tokopedia.com/elscomputer/msi-thin-15-b12uc-intel-core-i7-12650h-16gb-ssd-512gb-15-6-fhd-w11-1732745296380724328?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,"MSI Thin 15 B12UC Intel Core i7-12650H 16GB SSD 512GB 15.6"" FHD W11",Rp14.559.000,5.0,Terjual 2,Kota Yogyakarta,Els Computer
1777985231-746,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,"MSI MODERN 14 C12MO I3-1215U 8GB 512GB SSD NVME PCIE GEN3x4 SSD W/O DRAM 14"" UHD GRAPHICS W11+OHS SINGLE BACKLIT CLASSIC BLACK + SLEEVE BAGRp5.750.0001 terjualASBC komputerBekasi",https://www.tokopedia.com/infonet-karawang/msi-modern-14-c12mo-i3-1215u-8gb-512gb-ssd-nvme-pcie-gen3x4-ssd-w-o-dram-14-uhd-graphics-w11-ohs-single-backlit-classic-black-sleeve-bag-1730934329429755280?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,"MSI MODERN 14 C12MO I3-1215U 8GB 512GB SSD NVME PCIE GEN3x4 SSD W/O DRAM 14"" UHD GRAPHICS W11+OHS SINGLE BACKLIT CLASSIC BLACK + SLEEVE BAG",Rp5.750.000,,1 barang berhasil terjual,Kota Bekasi,ASBC komputer
1777985236-747,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,15%MSI CLAW 7 AI+ TOUCH ULTRA 7-258V 32GB 512GB 7.0FHD 120HZ W11Rp12.699.000Rp14.999.000Hemat s.d  1% Pakai Bonus5.022 terjualMSI Official StoreJakarta Pusat,https://www.tokopedia.com/msi-official-store/msi-claw-7-ai-touch-ultra-7-258v-32gb-512gb-7-0fhd-120hz-w11-1731430528095061805-1735346495027644205?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,MSI CLAW 7 AI+ TOUCH ULTRA 7-258V 32GB 512GB 7.0FHD 120HZ W11 - FLASHSALE,Rp12.699.000,5.0,Terjual 22,Kota Administrasi Jakarta Pusat,MSI Official Store
1777985241-748,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI GF63 11UC 9S7 16R612 1204 Core i5 11400H 8GB 512GB RTX3050 4GB W11Rp10.199.000Hemat s.d  1% Pakai BonusHeteroku Computer BaliDenpasar,https://www.tokopedia.com/heterokucom/msi-gf63-11uc-9s7-16r612-1204-core-i5-11400h-8gb-512gb-rtx3050-4gb-w11?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,MSI GF63 11UC 9S7 16R612 1204 Core i5 11400H 8GB 512GB RTX3050 4GB W11,Rp10.199.000,,,Kota Denpasar,Heteroku Computer Bali
1777985246-749,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,LAPTOP BARU! MSI MODERN 14 C12MO SILVER CORE i3 GEN 12 RAM 8 GB SSD 256 GB GARANSI RESMI 2 TAHUNRp5.800.000PahlawanLaptopSemarangSemarang,https://www.tokopedia.com/pahlawanlaptopsemarang/laptop-baru-msi-modern-14-c12mo-silver-core-i3-gen-12-ram-8-gb-ssd-256-gb-garansi-resmi-2-tahun-1730882134555461480?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,LAPTOP BARU! MSI MODERN 14 C12MO SILVER CORE i3 GEN 12 RAM 8 GB SSD 256 GB GARANSI RESMI 2 TAHUN,Rp5.800.000,,,Kota Semarang,PahlawanLaptopSemarang
1777985251-750,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI Modern 14 C12MO 9S7-14J111-1246 Core i3-1215U/8GB/256GB SSD/14″ FHD IPS/Win 11 Home+OHS/Urban SilverRp5.499.0005.012 terjualReinoKomputindoMedan,https://www.tokopedia.com/reinokomputindo/msi-modern-14-c12mo-9s7-14j111-1246-core-i3-1215u-8gb-256gb-ssd-14-fhd-ips-win-11-home-ohs-urban-silver-black1058-f060f?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,MSI Modern 14 C12MO 9S7-14J111-1246 Core i3-1215U/8GB/256GB SSD/14″ FHD IPS/Win 11 Home+OHS/Urban Silver - BLACK1058,Rp5.499.000,5.0,Terjual 12,Kota Medan,ReinoKomputindo
1777985256-751,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,33%MSI THIN A15 GeForce RTX 4050 - RYZEN 7 7735HS 8GB 512GB W11 15.6FHD 144HZ -B7VE.642Rp14.099.000Rp20.999.000Hemat s.d  1% Pakai Bonus4.9100+ terjualNVIDIA GeForce LaptopJakarta Utara,https://www.tokopedia.com/nvidiageforcelt/msi-thin-a15-geforce-rtx-4050-ryzen-7-7735hs-8gb-512gb-w11-15-6fhd-144hz-b7ve-642-1733314801116349859?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch%26whid%3D10085151,"MSI THIN A15 GeForce RTX 4050 - RYZEN 7 7735HS 8GB 512GB W11 15.6FHD 144HZ -B7VE.642 - RAM 8GB, TANPA ANTIGORES",Rp14.099.000,4.9,Terjual 100+,Kota Administrasi Jakarta Utara,NVIDIA GeForce Laptop
1777985261-752,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,"MSI Modern 14 C12M i3 1215 8GB 256GB W11 OHS 14"" FHD IPSRp6.750.000Hemat s.d  1% Pakai Bonus2 terjualMajuMComMedan",https://www.tokopedia.com/majumandiricom-1/msi-modern-14-c12m-i3-1215-8gb-256gb-w11-ohs-14-fhd-ips-8-512gb-65e8d?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,"MSI Modern 14 C12M i3 1215 8GB 256GB W11 OHS 14"" FHD IPS - 8/512GB",Rp6.750.000,,2 barang berhasil terjual,Kota Medan,MajuMCom
1777985266-753,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI THIN 15 RTX4050 I5 13420H 16GB 512GB W11 15.6FHD 144HZ BLITRp14.799.000Rp16.299.000Hemat s.d  1% Pakai Bonus5.015 terjualAGRES IDJakarta Utara,https://www.tokopedia.com/agresid/msi-thin-15-rtx4050-i5-13420h-16gb-512gb-w11-15-6fhd-144hz-blit-1733289960113734723?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,"MSI THIN 15 RTX4050 I5 13420H 16GB 512GB W11 15.6FHD 144HZ BLIT - Non Bundle, NON OFFICE",Rp14.799.000,5.0,Terjual 15,Kota Administrasi Jakarta Utara,AGRES ID
1777985271-754,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,32%MSI Vector 16 GeForce RTX 5070Ti - Ultra 7 255HX 16GB 512GB SSD W11 QHD 100% sRGBRp30.999.000Rp45.299.000Hemat s.d  1% Pakai Bonus5.010 terjualNVIDIA GeForce LaptopJakarta Utara,https://www.tokopedia.com/nvidiageforcelt/msi-vector-16-geforce-rtx-5070ti-ultra-7-255hx-16gb-512gb-ssd-w11-qhd-100-srgb-1731083979770529695?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch%26whid%3D10085151,MSI Vector 16 GeForce RTX 5070Ti - Ultra 7 255HX 16GB 512GB SSD W11 QHD 100% sRGB - Tanpa Antigores,Rp30.999.000,5.0,Terjual 10,Kota Administrasi Jakarta Utara,NVIDIA GeForce Laptop
1777985276-755,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,14%MSI KATANA 15 HX I7 14650HX RTX5050  16GB 512GB 15.6QHD 165HZ  W11 OHSRp21.999.000Rp25.499.000Hemat s.d  1% Pakai Bonus3.79 terjualMSI Official StoreJakarta Pusat,https://www.tokopedia.com/msi-official-store/msi-katana-15-hx-i7-14650hx-rtx5050-16gb-512gb-15-6qhd-165hz-w11-ohs-1731893386320185133-1735344903009044269?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,MSI KATANA 15 HX I7 14650HX RTX5050  16GB 512GB 15.6QHD 165HZ  W11 OHS - FLASHSALE 16GB,Rp21.999.000,3.7,Terjual 9,Kota Administrasi Jakarta Pusat,MSI Official Store
1777985281-756,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,26%MSI Crosshair A16 HX D7W GeForce RTX 5070 - RYZEN 9 8940HX RAM 16GB 512SSD QHD+ 240HzRp27.499.000Rp36.999.000Hemat s.d  1% Pakai Bonus1 terjualNVIDIA GeForce LaptopJakarta Utara,https://www.tokopedia.com/nvidiageforcelt/msi-crosshair-a16-hx-d7w-geforce-rtx-5070-ryzen-9-7945hx-ram-16gb-512ssd-qhd-240hz-1731947075799975331?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch%26whid%3D10085151,"MSI Crosshair A16 HX D7W GeForce RTX 5070 - RYZEN 9 8940HX RAM 16GB 512SSD QHD+ 240Hz - RAM 16GB, TANPA ANTIGORES",Rp27.499.000,,1 barang berhasil terjual,Kota Administrasi Jakarta Utara,NVIDIA GeForce Laptop
1777985287-757,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI THIN 15 RTX3050 I5 13420H 8GB 512GB W11 15.6 FHD 144HZRp12.869.000Rp14.299.000Hemat s.d  1% Pakai Bonus5.050+ terjualAGRES IDJakarta Utara,https://www.tokopedia.com/agresid/msi-thin-15-rtx3050-i5-13420h-8gb-512gb-w11-15-6-fhd-144hz-1733723915289199683?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,"MSI THIN 15 RTX3050 I5 13420H 8GB 512GB W11 15.6 FHD 144HZ - Non Bundle, NON OFFICE",Rp12.869.000,5.0,Terjual 50+,Kota Administrasi Jakarta Utara,AGRES ID
1777985292-758,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI MODERN 14 I5 1334U 8GB 512GB W11 14.0FHD BLIT 2Y SLV -F13MG-647Rp14.198.000Rp14.199.000Hemat s.d  1% Pakai Bonus4.9100+ terjualIT GAMING IDJakarta Pusat,https://www.tokopedia.com/itgamingid/msi-modern-14-i5-1334u-8gb-512gb-w11-14-0fhd-blit-2y-slv-f13mg-647-1729970855169459465-1735233070606222601?extParam=ivf%3Dtrue%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,MSI MODERN 14 I5 1334U 8GB 512GB W11 14.0FHD BLIT 2Y SLV -F13MG-647 - Campaign,Rp14.198.000,4.9,Terjual 100+,Kota Administrasi Jakarta Pusat,IT GAMING ID
1777985297-759,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20msi,MSI THIN A15 RYZEN 7 7735HS RTX4050 6GB/ 8GB 512GB W11 15.6FHD 144HZ BLIT 2Y GRY -B7VE.642Rp14.311.000Rp15.886.000Hemat s.d  1% Pakai Bonus5.050+ terjualMSI Business IDJakarta Utara,https://www.tokopedia.com/msi-business-id/msi-thin-a15-ryzen-7-7735hs-rtx4050-6gb-8gb-512gb-w11-15-6fhd-144hz-blit-2y-gry-b7ve-642-1733270711044572844?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D2026050512431894F6D7E04A4D45168N7N%26src%3Dsearch,MSI THIN A15 RYZEN 7 7735HS RTX4050 6GB/ 8GB 512GB W11 15.6FHD 144HZ BLIT 2Y GRY -B7VE.642,Rp14.311.000,5.0,Terjual 50+,Kota Administrasi Jakarta Utara,MSI Business ID
