web_scraper_order,web_scraper_start_url,detail produk,detail produk-href,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777267410-11","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","IPHONE 11 PROMAX RESMI IBOXRp5.700.0001 terjualIphonebjmBanjarmasin","https://www.tokopedia.com/iphonebjm/iphone-11-promax-resmi-ibox-1732374074637059782?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","IPHONE 11 PROMAX RESMI IBOX - grey, 64gb","Rp5.700.000","","1 barang berhasil terjual","Kota Banjarmasin","Iphonebjm"
"1777267416-12","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","Iphone 13 Midnight 128gb BekasRp7.200.000Hemat s.d  1% Pakai Bonus4.740+ terjualTrawocoTechKab. Banjarnegara","https://www.tokopedia.com/trawocotech/iphone-13-midnight-128gb-bekas-1733596795947354052?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","Iphone 13 Midnight 128gb Bekas","Rp7.200.000","4.7","Terjual 40+","Kab. Banjarnegara","TrawocoTech"
"1777267422-13","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","Iphone 12 Pro 128 GB Wifi Only mulus fullsetRp4.550.000Hemat s.d  1% Pakai Bonus5.030+ terjualMERAUKE.Kab. Sidoarjo","https://www.tokopedia.com/merauke/iphone-12-pro-128-gb-wifi-only-mulus-fullset-1733246050731329321?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","Iphone 12 Pro 128 GB Wifi Only mulus fullset","Rp4.550.000","5","Terjual 40+","Kab. Sidoarjo","MERAUKE."
"1777267427-14","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","iPhone 11 Pro Second 64Gb 256Gb 512Gb Fullset Original Garansi Resmi iBox & BeacukaiRp4.899.000Hemat s.d  1% Pakai Bonus5.018 terjualBetterSecondCellDenpasar","https://www.tokopedia.com/bettersecond/iphone-11-pro-second-64gb-256gb-512gb-fullset-original-garansi-resmi-ibox-beacukai-1729825178697106608?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","iPhone 11 Pro Second 64Gb 256Gb 512Gb Fullset Original Garansi Resmi iBox & Beacukai - 64 gb, Silver","Rp4.899.000","5","Terjual 18","Kota Denpasar","BetterSecondCell"
"1777267432-15","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","iPhone 13 128GB All Operator Full SettRp6.500.0005.04 terjualGadget On OfficialPekanbaru","https://www.tokopedia.com/gadgetonofficial/iphone-13-128gb-all-operator-full-sett-1730955577737381752?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","iPhone 13 128GB All Operator Full Sett","Rp6.500.000","5","Terjual 4","Kota Pekanbaru","Gadget On Official"
"1777267438-16","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","Iphone 11 64gb/128gb/256gb Purple FullsetRp3.780.000Hemat s.d  1% Pakai Bonus1 terjualPACIFIC GADGET PERINTISMakassar","https://www.tokopedia.com/pacificgadgetperintis/iphone-11-64gb-128gb-purple-fullset-1732593172764329000?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","Iphone 11 64gb/128gb/256gb Purple Fullset - Purple, 64gb","Rp3.780.000","","1 barang berhasil terjual","Kota Makassar","PACIFIC GADGET PERINTIS"
"1777267443-17","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","IBOX| iPhone 11 Pro Max 512GB 256GB 128GB 64GB Second Original Fullset ResmiRp3.819.000Hemat s.d  1% Pakai Bonus4.7250+ terjualMACBINTangerang Selatan","https://www.tokopedia.com/macbin/ibox-iphone-11-pro-max-512gb-256gb-128gb-64gb-second-original-fullset-resmi-1729822596398941444?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","IBOX| iPhone 11 Pro Max 512GB 256GB 128GB 64GB Second Original Fullset Resmi - 11 64GB, Ex-Inter","Rp3.819.000","4.7","Terjual 250+","Kota Tangerang Selatan","MACBIN"
"1777267449-18","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","IPHONE 15 128 256 512 GB 1 TB - BRAND NEW IN BOX - IBOX / RESMIRp10.500.000Hemat s.d  1% Pakai Bonus5.050+ terjualMobile Phone Shop BECBandung","https://www.tokopedia.com/mobilephonebec/iphone-15-128-256-512-gb-1-tb-brand-new-in-box-ibox-resmi-pink-128-gb-2nd-ibox-e3773?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","IPHONE 15 128 256 512 GB 1 TB - BRAND NEW IN BOX - IBOX / RESMI - PINK, 128 GB 2ND IBOX","Rp10.500.000","5","Terjual 50+","Kota Bandung","Mobile Phone Shop BEC"
"1777267454-19","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","IPHONE XR 64 128 256 GB SECOND MULUS INTER IBOXRp3.202.000Hemat s.d  1% Pakai Bonus4.9100+ terjualDIGICELLBandung","https://www.tokopedia.com/digicell/iphone-xr-64-128-256-gb-second-mulus-inter-ibox-64-gb-inter-coral?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","IPHONE XR 64 128 256 GB SECOND MULUS INTER IBOX - 64 GB INTER, CORAL","Rp3.202.000","4.9","Terjual 100+","Kota Bandung","DIGICELL"
"1777267459-20","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","IPHONE 12 PRO 128 256 512 GB SECOND MULUS INTER IBOXRp6.037.000Hemat s.d  1% Pakai Bonus4.940+ terjualDIGICELLBandung","https://www.tokopedia.com/digicell/iphone-12-pro-128-256-512-gb-second-mulus-inter-ibox-128-gb-inter-gold?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","IPHONE 12 PRO 128 256 512 GB SECOND MULUS INTER IBOX - 128 GB INTER, GOLD","Rp6.037.000","4.9","Terjual 40+","Kota Bandung","DIGICELL"
"1777267464-21","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","IPHONE 12 64 128 256 GB SECOND MULUS INTER IBOXRp4.929.000Hemat s.d  1% Pakai Bonus4.970+ terjualDIGICELLBandung","https://www.tokopedia.com/digicell/iphone-12-64-128-256-gb-second-mulus-inter-ibox-64-gb-inter-blue?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","IPHONE 12 64 128 256 GB SECOND MULUS INTER IBOX - 64 GB INTER, BLUE","Rp4.929.000","4.9","Terjual 70+","Kota Bandung","DIGICELL"
"1777267469-22","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","IPHONE 12 Pro Max 256GB 128GB SECOND ORIGINAL FULLSET MULUSRp4.950.000Hemat s.d  1% Pakai Bonus4.770+ terjualbojun88Jakarta Utara","https://www.tokopedia.com/085211363855/iphone-12-pro-max-256gb-128gb-second-original-fullset-mulus-12pm-128gb-pasific-blue-61d1c?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","IPHONE 12 Pro Max 256GB 128GB SECOND ORIGINAL FULLSET MULUS - 12PM 128GB, Pasific Blue","Rp4.950.000","4.7","Terjual 70+","Kota Administrasi Jakarta Utara","bojun88"
"1777267475-23","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","iphone 11 64 gb, 128gb , 256 gb original ex interRp3.250.000Hemat s.d  1% Pakai Bonus4.950+ terjualRBT ONLINE STORE1Jakarta Barat","https://www.tokopedia.com/rbtonlinestore/iphone-11-64-gb-128gb-256-gb-original-ex-inter-1732450890833692030?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","iphone 11 64 gb, 128gb , 256 gb original ex inter - 11 64gb","Rp3.250.000","4.9","Terjual 60+","Kota Administrasi Jakarta Barat","RBT ONLINE STORE1"
"1777267480-24","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","iPhone 12 64GB 128GB 256GB Second fullset original 100% Like New BergaransiRp4.645.000Hemat s.d  1% Pakai Bonus4.940+ terjualCyrus Cell BECBandung","https://www.tokopedia.com/cyruscelluler/iphone-12-64gb-128gb-256gb-second-fullset-original-100-like-new-bergaransi-1731005974775301663?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","iPhone 12 64GB 128GB 256GB Second fullset original 100% Like New Bergaransi - Hitam, 64 gb","Rp4.645.000","4.9","Terjual 40+","Kota Bandung","Cyrus Cell BEC"
"1777267486-25","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","iPhone 14 Plus iPhone 14 Second 512GB/256GB/128GB Original MulusRp5.550.000Hemat s.d  1% Pakai Bonus4.9100+ terjualbojun88Jakarta Utara","https://www.tokopedia.com/085211363855/iphone-14-plus-iphone-14-second-512gb-256gb-128gb-original-mulus-14plus-128gb-starlight-cbff1?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","iPhone 14 Plus iPhone 14 Second 512GB/256GB/128GB Original Mulus - 14PLUS 128GB, Starlight","Rp5.550.000","4.9","Terjual 100+","Kota Administrasi Jakarta Utara","bojun88"
"1777267491-26","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","iPhone 15 Second 128GB 256GB Fullset Original Garansi ResmiRp10.631.000Hemat s.d  1% Pakai Bonus5.0100+ terjualKamar GadgetKab. Sumedang","https://www.tokopedia.com/kamargadgetbdg/iphone-15-second-128gb-256gb-fullset-original-garansi-resmi-1733060426673260543?extParam=ivf%3Dtrue%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","iPhone 15 Second 128GB 256GB Fullset Original Garansi Resmi - Black, Sec-Resmi 128GB","Rp10.631.000","5","Terjual 100+","Kota Bandung","Kamar Gadget"
"1777267496-27","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","iPhone XS 64GB | 256GB | 512GB  Fullset Resmi Original iBox/DigimapRp2.750.8004.819 terjualDRMgstore_NEWJakarta Timur","https://www.tokopedia.com/drmgstore/iphone-xs-64gb-256gb-512gb-fullset-resmi-original-ibox-digimap-inter-ip-xs-64gb-8689e?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","iPhone XS 64GB | 256GB | 512GB  Fullset Resmi Original iBox/Digimap - Inter, iP XS 64gb","Rp2.750.800","4.8","Terjual 19","Kota Administrasi Jakarta Timur","DRMgstore_NEW"
"1777267502-28","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","Apple iPhone 16 Pro Max dengan Kamera Triple dan Desain Premium HitamRp7.800.0005.01 terjualAlanaStore34Depok","https://www.tokopedia.com/alanastore34/apple-iphone-16-pro-max-dengan-kamera-triple-dan-desain-premium-hitam-1733880089944163430?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","Apple iPhone 16 Pro Max dengan Kamera Triple dan Desain Premium Hitam","Rp7.800.000","5","Terjual 1","Kota Depok","AlanaStore34"
"1777267507-29","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","HP Apple iPhone 16 PRO/16 PRO MAX 32/64/128/256GB/512GB Fullset Second 100% Original Ex InternasionalRp2.812.500Hemat s.d  1% Pakai Bonus5.02 terjualsofineyJakarta Utara","https://www.tokopedia.com/sofiney/hp-apple-iphone-16-pro-16-pro-max-32-64-128-256gb-512gb-fullset-second-100-original-ex-internasional-1730836995418195620?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","HP Apple iPhone 16 PRO/16 PRO MAX 32/64/128/256GB/512GB Fullset Second 100% Original Ex Internasional - emas, 32GB","Rp2.812.500","5","Terjual 2","Kota Administrasi Jakarta Utara","sofiney"
"1777267512-30","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","iPhone 11 Second Resmi 64GB 128GB 256GB Fullset Original Garansi ResmiRp6.000.000Hemat s.d  1% Pakai Bonus5.060+ terjualKamar GadgetKab. Sumedang","https://www.tokopedia.com/kamargadgetbdg/iphone-11-second-resmi-64gb-128gb-256gb-fullset-original-garansi-resmi-1732965420056217599?extParam=ivf%3Dtrue%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch%26whid%3D21164227","iPhone 11 Second Resmi 64GB 128GB 256GB Fullset Original Garansi Resmi - Black, Sec-iBox 128GB","Rp6.000.000","5","Terjual 60+","Kab. Sumedang","Kamar Gadget"
"1777267517-31","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","iPhone 13 Second | Garansi Inter Like New, Beacukai & iBox | 128GB 256GBRp5.928.000Hemat s.d  1% Pakai Bonus5.017 terjualiZona IDBandung","https://www.tokopedia.com/izona-id/iphone-13-second-garansi-inter-like-new-beacukai-ibox-128gb-256gb-1732182207888590372?extParam=ivf%3Dtrue%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","iPhone 13 Second | Garansi Inter Like New, Beacukai & iBox | 128GB 256GB - 128 GB INTER","Rp5.928.000","5","Terjual 17","Kota Bandung","iZona ID"
"1777267523-32","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","IPHONE 14 PRO 128 256 GB - GARANSI RESMI INDONESIA / BCRp10.604.000Hemat s.d  1% Pakai Bonus2 terjualMobile Phone Shop BECBandung","https://www.tokopedia.com/mobilephonebec/iphone-14-pro-128-256-gb-garansi-resmi-indonesia-bc-1734441610579838366?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","IPHONE 14 PRO 128 256 GB - GARANSI RESMI INDONESIA / BC - SPACE BLACK, 128 GB INTER","Rp10.604.000","","2 barang berhasil terjual","Kota Bandung","Mobile Phone Shop BEC"
"1777267528-33","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","HP Apple iPhone 16 PRO/16 PRO MAX 64/128/256GB/512GB Fullset Second 100% Original Ex InternasionalRp2.812.500Hemat s.d  1% Pakai Bonus4.011 terjualsofineyJakarta Utara","https://www.tokopedia.com/sofiney/hp-apple-iphone-16-pro-16-pro-max-64-128-256gb-512gb-fullset-second-100-original-ex-internasional-1730836994588444324?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","HP Apple iPhone 16 PRO/16 PRO MAX 64/128/256GB/512GB Fullset Second 100% Original Ex Internasional - emas, 32GB","Rp2.812.500","4","Terjual 11","Kota Administrasi Jakarta Utara","sofiney"
"1777267533-34","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","36%iPhone 14 Pro 5G 128GB 256GB 512GB 1TB BLACK SILVER GOLD DEEP PURPLE SECOND SEKEN BEKAS MULUS ORIGINAL IBOX BC INTERRp9.499.000Rp14.750.000Hemat s.d  1% Pakai Bonus5.040+ terjualWendy OLSBatam","https://www.tokopedia.com/wendyefendy/iphone-14-pro-5g-128gb-256gb-512gb-1tb-black-silver-gold-deep-purple-second-seken-bekas-mulus-original-ibox-bc-inter-1731115697829086674?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","iPhone 14 Pro 5G 128GB 256GB 512GB 1TB BLACK SILVER GOLD DEEP PURPLE SECOND SEKEN BEKAS MULUS ORIGINAL IBOX BC INTER - 128GB, Second INTER","Rp9.499.000","5","Terjual 40+","Kota Batam","Wendy OLS"
"1777267539-35","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","Apple iPhone 12 Pro 512GB 256GB 128GB Original Garansi Resmi iBox IndonesiaRp5.520.000Hemat s.d  1% Pakai Bonus5.016 terjualAFAGADGETDepok","https://www.tokopedia.com/afagadgetstore/apple-iphone-12-pro-512gb-256gb-128gb-original-garansi-resmi-ibox-indonesia-1731061790771479664?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","Apple iPhone 12 Pro 512GB 256GB 128GB Original Garansi Resmi iBox Indonesia - Wifi Only, 128 gb","Rp5.520.000","5","Terjual 16","Kota Depok","AFAGADGET"
"1777267544-36","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","IPHONE 11 PRO MAX 64 128 256 GBRp5.671.000Hemat s.d  1% Pakai Bonus5.030+ terjualDIGICELLBandung","https://www.tokopedia.com/digicell/iphone-11-pro-max-64-128-256-gb-64-gb-inter-midnight-green?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","IPHONE 11 PRO MAX 64 128 256 GB - 64 GB INTER, MIDNIGHT GREEN","Rp5.671.000","5","Terjual 30+","Kota Bandung","DIGICELL"
"1777267549-37","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","19%[Secondhand ] iPhone 12Pro max  iPhone 12pro RAM 128GB 256GB Second BEKAS ORIGINAL100%MULUS NORMAL FULLSET Kondisi Perfect Apple iPhone 12Pro / iPhone 12 Pro MaxRp4.850.000Rp6.000.000Hemat s.d  1% Pakai Bonus2 terjualDouDou Digital MallJakarta Barat","https://www.tokopedia.com/doudou-digital-mall/secondhand-iphone-12pro-max-iphone-12pro-ram-128gb-256gb-second-bekas-original100-mulus-normal-fullset-kondisi-perfect-apple-iphone-12pro-iphone-12-pro-max-1734132781338297539?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","[Secondhand ] iPhone 12Pro max  iPhone 12pro RAM 128GB 256GB Second BEKAS ORIGINAL100%MULUS NORMAL FULLSET Kondisi Perfect Apple iPhone 12Pro / iPhone 12 Pro Max - Putih, 12pro 128GB","Rp4.850.000","","2 barang berhasil terjual","Kota Administrasi Jakarta Barat","DouDou Digital Mall"
